胶 原 蛋 白	-11.3781	277	0.167216	474	0.145224	182	0.136465	486	0.122505	479	0.11364	327	0.11082	218	0.102691	317	0.101439
第 三 节	-11.3859	340	0.15024	194	0.132096	373	0.127553	14	0.123836	188	0.119759	349	0.11673	64	0.115363	108	0.114423
数 码 相 机	-11.3926	463	0.2017	244	0.139029	101	0.126752	122	0.118467	480	0.10809	426	0.10369	357	0.101517	128	0.100755
分 析 方 法	-11.3988	408	0.159718	49	0.127884	396	0.125565	33	0.123332	92	0.121413	365	0.121117	54	0.118088	232	0.102884
生 产 力	-11.4031	324	0.154087	298	0.135668	21	0.130275	100	0.129674	123	0.116976	189	0.113759	348	0.11249	301	0.107071
用 户 名	-11.4101	278	0.19006	384	0.158162	364	0.136965	55	0.112587	37	0.111582	397	0.102158	378	0.0948557	159	0.0936304
师 范 学 院	-11.4179	431	0.163887	391	0.161769	205	0.148035	41	0.122955	181	0.119843	286	0.107578	38	0.0896776	169	0.0862543
现 代 人	-11.4248	69	0.194945	59	0.143072	66	0.113372	481	0.111759	115	0.111025	157	0.109216	190	0.108722	298	0.107888
墨 尔 本	-11.4299	126	0.165977	164	0.143394	176	0.119887	172	0.117818	500	0.117058	334	0.116012	433	0.115408	356	0.104445
前 列 腺	-11.4357	99	0.193277	498	0.155237	306	0.132431	486	0.113716	305	0.108568	236	0.106528	415	0.0970089	499	0.0932344
党 风 廉 政	-11.4402	470	0.211879	130	0.145275	223	0.124296	438	0.112089	489	0.111703	110	0.0999097	21	0.0978102	298	0.0970375
高 强 度	-11.4469	436	0.161376	503	0.148495	268	0.13928	134	0.117684	429	0.117293	459	0.106162	344	0.106155	326	0.103554
市 场 化	-11.4579	21	0.156301	471	0.153598	189	0.12657	156	0.124584	298	0.114175	0	0.111103	100	0.110654	5	0.103015
酒 店 预 订	-11.4644	41	0.180183	196	0.145242	195	0.140873	379	0.129863	200	0.109359	395	0.109156	40	0.0928284	169	0.0924967
规 章 制 度	-11.4698	232	0.164544	189	0.154732	501	0.14884	223	0.115421	365	0.10794	159	0.105226	100	0.103508	93	0.0997885
柬 埔 寨	-11.4748	164	0.182138	433	0.128383	172	0.128296	126	0.125005	500	0.11598	290	0.109751	356	0.106088	334	0.104359
安 全 管 理	-11.4806	223	0.160886	189	0.134334	235	0.124031	470	0.122	21	0.119484	413	0.114787	370	0.114279	232	0.110198
队 伍 建 设	-11.485	189	0.1436	21	0.141371	223	0.132296	470	0.126252	301	0.117455	183	0.113536	238	0.113008	489	0.11248
中 科 院	-11.4893	391	0.151683	412	0.142058	431	0.138679	2	0.130502	97	0.116878	38	0.113382	23	0.109995	145	0.0968227
吉 隆 坡	-11.4943	126	0.168448	164	0.127277	172	0.125695	176	0.125601	334	0.12303	339	0.115999	356	0.107654	500	0.106296
触 摸 屏	-11.5	122	0.146288	357	0.136227	244	0.135999	463	0.131562	39	0.11515	27	0.113481	134	0.112528	480	0.108764
发 言 人	-11.5041	56	0.167658	104	0.139392	322	0.136737	427	0.122797	154	0.119236	23	0.111501	22	0.107315	297	0.0953626
那 一 天	-11.5093	121	0.167419	30	0.163061	18	0.129618	52	0.116293	80	0.115149	203	0.104837	194	0.102439	361	0.101184
绝 不 会	-11.5147	50	0.202838	473	0.165705	15	0.140042	259	0.112643	203	0.0978624	52	0.097376	243	0.0938134	44	0.0897199
挖 掘 机	-11.5197	360	0.19188	252	0.156181	285	0.132632	27	0.115665	85	0.107736	329	0.10274	217	0.0997266	101	0.0934406
变 频 器	-11.5257	39	0.163758	27	0.16287	122	0.133716	186	0.113263	480	0.113105	285	0.109395	128	0.101992	249	0.101901
意 想 不 到	-11.5297	261	0.189977	167	0.125745	275	0.122383	454	0.121468	492	0.112289	443	0.111508	432	0.108754	399	0.107875
工 程 技 术	-11.5329	235	0.151726	413	0.133316	409	0.132003	9	0.130118	4	0.121788	100	0.113859	329	0.110033	370	0.107158
项 目 经 理	-11.5346	110	0.139779	427	0.138498	104	0.127174	81	0.12562	300	0.125094	385	0.12254	281	0.115863	56	0.105432
吉 他 谱	-11.5371	152	0.181596	44	0.150659	58	0.143994	158	0.121701	461	0.112559	368	0.101027	497	0.0953193	87	0.0931441
大 学 毕 业	-11.5465	184	0.245182	3	0.159411	229	0.112166	231	0.109548	28	0.0951418	194	0.0946523	468	0.0929772	259	0.0909209
王 俊 凯	-11.552	107	0.169087	203	0.134114	282	0.133507	234	0.130508	31	0.123268	35	0.112753	386	0.0999118	313	0.0968513
呼 和 浩 特	-11.5578	334	0.214572	356	0.139529	67	0.131385	63	0.111263	339	0.109027	57	0.101936	126	0.0994291	172	0.0928589
竞 技 场	-11.5628	467	0.145141	295	0.139761	137	0.138093	88	0.133991	269	0.119102	194	0.110084	106	0.107807	340	0.10602
广 泛 应 用	-11.5652	162	0.187112	266	0.131174	26	0.130664	233	0.123688	49	0.109742	409	0.109097	471	0.105027	479	0.103496
聚 氨 酯	-11.5694	503	0.190439	366	0.140055	326	0.115917	436	0.114485	218	0.113997	180	0.108948	479	0.108936	134	0.107223
不 适 应	-11.5777	213	0.165277	369	0.142145	473	0.127877	487	0.127195	304	0.120634	8	0.110075	28	0.103552	259	0.103247
生 产 经 营	-11.5826	21	0.140599	370	0.133581	235	0.125247	189	0.125078	100	0.121314	4	0.119463	348	0.118265	223	0.116453
上 个 月	-11.5866	52	0.187616	50	0.163624	390	0.124842	203	0.121822	381	0.115669	421	0.0982877	231	0.0944588	322	0.0936814
网 络 科 技	-11.5904	40	0.286568	221	0.131214	58	0.107238	64	0.100279	508	0.0998556	416	0.0947371	219	0.0904297	358	0.0896774
最 新 版	-11.5949	426	0.204217	371	0.140569	463	0.136039	353	0.110473	58	0.109776	314	0.103712	148	0.100983	284	0.0942303
结 构 调 整	-11.5999	21	0.191468	189	0.140286	100	0.12464	324	0.117623	298	0.108293	348	0.107941	370	0.105503	144	0.104245
副 秘 书 长	-11.6049	104	0.235757	56	0.13641	131	0.116906	13	0.114203	34	0.113701	456	0.101449	154	0.092025	257	0.089549
合 法 性	-11.6082	453	0.156354	365	0.14884	135	0.129703	189	0.118415	121	0.115258	123	0.11513	324	0.113348	100	0.102952
不 高 兴	-11.6125	213	0.144038	487	0.13494	28	0.129102	473	0.128586	259	0.126033	443	0.115929	304	0.111127	50	0.110245
滤 波 器	-11.6186	39	0.167138	396	0.144865	302	0.129596	42	0.119714	122	0.119628	134	0.113415	27	0.1033	116	0.102344
端 午 节	-11.6209	361	0.279344	390	0.122517	194	0.119052	341	0.101602	199	0.100859	447	0.0958056	323	0.0915928	256	0.0892277
白 血 病	-11.6261	498	0.221209	306	0.174046	486	0.116471	415	0.108628	387	0.102347	99	0.0946245	236	0.0913708	410	0.0913048
收 费 标 准	-11.6276	232	0.176436	496	0.127291	168	0.126527	289	0.125971	159	0.123688	33	0.113037	189	0.10373	324	0.10332
动 力 学	-11.6315	49	0.154562	42	0.146062	408	0.140006	396	0.132034	479	0.112791	302	0.108166	486	0.104385	392	0.101993
太 阳 镜	-11.6345	198	0.158891	185	0.135854	45	0.133	193	0.129479	440	0.127472	362	0.109318	165	0.109021	460	0.0969661
工 作 计 划	-11.6396	232	0.188493	159	0.130225	250	0.123831	189	0.119478	223	0.116688	238	0.115733	365	0.104229	95	0.101323
李 克 强	-11.6439	322	0.16739	456	0.15072	141	0.139269	23	0.135046	187	0.108917	22	0.102091	343	0.101674	56	0.0948936
加 工 厂	-11.6478	133	0.17218	40	0.142016	448	0.12774	38	0.122119	303	0.112354	235	0.110972	417	0.108093	329	0.104526
